City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Kralendijk,BQ,12.15,-68.27,82.4,83,1,13.87,clear sky,0.0,0.0
1,Puerto Lumbreras,ES,37.56,-1.81,70.0,48,0,1.01,clear sky,0.0,0.0
2,Belaya Gora,RU,68.53,146.42,50.77,74,100,9.26,overcast clouds,0.0,0.0
3,Rodeo,US,38.03,-122.27,71.01,49,1,14.99,clear sky,0.0,0.0
4,Ushuaia,AR,-54.8,-68.3,35.6,80,22,16.11,few clouds,0.0,0.0
5,Ribeira Grande,PT,38.52,-28.7,68.22,88,2,10.83,clear sky,0.0,0.0
6,Mataura,NZ,-46.19,168.86,44.31,89,83,8.19,light rain,0.0,0.0
7,Namtsy,RU,62.72,129.67,71.6,40,84,4.47,broken clouds,0.0,0.0
8,Lagoa,PT,39.05,-27.98,67.37,90,8,10.78,clear sky,0.0,0.0
9,Beinamar,TD,8.67,15.38,71.53,94,100,5.99,light rain,0.0,0.0
10,Geraldton,AU,-28.77,114.6,60.8,77,2,6.93,clear sky,0.0,0.0
11,Hermanus,ZA,-34.42,19.23,57.0,71,81,4.0,broken clouds,0.0,0.0
12,Busselton,AU,-33.65,115.33,55.0,90,100,5.01,light rain,0.0,0.0
13,Mount Isa,AU,-20.73,139.5,73.4,17,0,8.05,clear sky,0.0,0.0
14,Gravdal,NO,68.12,13.5,48.88,85,100,8.86,overcast clouds,0.0,0.0
15,Bluff,NZ,-46.6,168.33,46.18,84,89,20.94,light rain,0.0,0.0
16,Tiksi,RU,71.69,128.87,37.72,88,92,5.77,overcast clouds,0.0,0.0
17,Mizdah,LY,31.45,12.98,68.05,49,0,7.34,clear sky,0.0,0.0
18,Kapaa,US,22.08,-159.32,82.4,65,1,12.75,clear sky,0.0,0.0
19,Port Alfred,ZA,-33.59,26.89,62.01,80,25,10.0,scattered clouds,0.0,0.0
20,Safford,US,32.83,-109.71,102.2,8,1,20.8,clear sky,0.0,0.0
21,Vardo,NO,70.37,31.11,48.2,87,75,11.41,shower rain,0.0,0.0
22,Vaini,TO,-21.2,-175.2,78.8,83,75,9.17,broken clouds,0.0,0.0
23,Jamestown,US,42.1,-79.24,75.2,69,1,3.36,clear sky,0.0,0.0
24,Qaanaaq,GL,77.48,-69.36,44.02,60,0,0.56,clear sky,0.0,0.0
25,Noumea,NC,-22.28,166.46,71.6,60,73,2.24,broken clouds,0.0,0.0
26,Verkhoyansk,RU,67.54,133.38,67.15,35,6,7.0,clear sky,0.0,0.0
27,Bambous Virieux,MU,-20.34,57.76,73.4,94,40,5.82,shower rain,0.0,0.0
28,Atuona,PF,-9.8,-139.03,79.97,71,4,11.9,clear sky,0.0,0.0
29,Bengkulu,ID,-3.8,102.27,86.9,57,79,4.32,broken clouds,0.0,0.0
30,Punta Arenas,CL,-53.15,-70.92,26.6,92,13,2.24,few clouds,0.0,0.0
31,Arraial Do Cabo,BR,-22.97,-42.03,71.76,89,0,11.83,clear sky,0.0,0.0
32,Winnemucca,US,40.97,-117.74,91.4,4,1,13.87,clear sky,0.0,0.0
33,Rikitea,PF,-23.12,-134.97,73.44,83,98,12.66,overcast clouds,0.0,0.0
34,Mahebourg,MU,-20.41,57.7,73.4,94,40,5.82,shower rain,0.0,0.0
35,Carnarvon,AU,-24.87,113.63,68.0,45,72,13.87,broken clouds,0.0,0.0
36,Grand-Lahou,CI,5.14,-5.02,75.38,88,100,8.84,overcast clouds,0.0,0.0
37,Cunduacan,MX,18.07,-93.17,84.2,79,75,8.05,broken clouds,0.0,0.0
38,Mehamn,NO,71.04,27.85,46.4,87,90,13.87,overcast clouds,0.0,0.0
39,Puerto Ayora,EC,-0.74,-90.35,69.01,93,100,1.01,overcast clouds,0.0,0.0
40,Fortuna,US,40.6,-124.16,59.0,76,90,9.17,overcast clouds,0.0,0.0
41,Albany,US,42.6,-73.97,70.0,56,0,5.28,clear sky,0.0,0.0
42,New Norfolk,AU,-42.78,147.06,50.0,76,0,1.45,clear sky,0.0,0.0
43,Hobart,AU,-42.88,147.33,50.0,57,75,10.29,broken clouds,0.0,0.0
44,Alofi,NU,-19.06,-169.92,78.8,74,75,13.87,broken clouds,0.0,0.0
45,Hilo,US,19.73,-155.09,80.6,65,90,8.05,overcast clouds,0.0,0.0
46,Georgetown,MY,5.41,100.34,84.2,88,20,2.24,few clouds,0.0,0.0
47,Barrow,US,71.29,-156.79,37.4,86,90,16.11,overcast clouds,0.0,0.0
48,Dunedin,NZ,-45.87,170.5,46.99,79,100,4.0,overcast clouds,0.0,0.0
49,Katsuura,JP,35.13,140.3,84.0,88,75,35.57,light intensity shower rain,0.0,0.0
50,Yellowknife,CA,62.46,-114.35,64.4,42,40,21.92,scattered clouds,0.0,0.0
51,Titlagarh,IN,20.3,83.15,78.91,82,99,5.88,overcast clouds,0.0,0.0
52,Kerman,IR,30.28,57.08,73.4,43,0,3.56,clear sky,0.0,0.0
53,Aklavik,CA,68.22,-135.01,50.0,76,75,6.93,broken clouds,0.0,0.0
54,Karratha,AU,-20.74,116.85,78.73,18,0,18.03,clear sky,0.0,0.0
55,Russell,US,32.35,-85.2,78.8,88,75,1.79,broken clouds,0.0,0.0
56,Darhan,MN,49.49,105.92,81.61,41,33,8.72,scattered clouds,0.0,0.0
57,San Vicente,AR,-26.62,-54.13,60.73,100,96,1.74,light rain,0.0,0.0
58,Bucerias,MX,20.75,-105.33,86.0,79,90,8.05,overcast clouds,0.0,0.0
59,Sheltozero,RU,61.37,35.37,58.95,84,70,5.84,broken clouds,0.0,0.0
60,Saint George,US,37.1,-113.58,98.01,3,1,16.11,clear sky,0.0,0.0
61,Nioro,GM,13.35,-15.75,79.5,82,72,5.19,broken clouds,0.0,0.0
62,Chokurdakh,RU,70.63,147.92,41.29,92,99,11.03,light rain,0.0,0.0
63,Hobyo,SO,5.35,48.53,77.99,75,100,15.28,overcast clouds,0.0,0.0
64,Pevek,RU,69.7,170.31,47.57,68,84,8.88,broken clouds,0.0,0.0
65,Melaka,MY,2.2,102.24,82.4,78,20,1.12,few clouds,0.0,0.0
66,Tuatapere,NZ,-46.13,167.68,44.28,86,100,15.08,moderate rain,0.0,0.0
67,Luderitz,NA,-26.65,15.16,53.6,81,93,10.29,overcast clouds,0.0,0.0
68,Basco,PH,20.45,121.97,84.81,79,99,17.05,overcast clouds,0.0,0.0
69,Douentza,ML,15.0,-2.95,90.0,36,23,12.35,few clouds,0.0,0.0
70,Xai-Xai,MZ,-25.05,33.64,58.33,80,0,10.78,clear sky,0.0,0.0
71,Zeerust,ZA,-25.54,26.08,42.8,35,0,6.93,clear sky,0.0,0.0
72,Saint-Philippe,RE,-21.36,55.77,71.6,94,90,17.22,overcast clouds,0.0,0.0
73,Payakumbuh,ID,-0.22,100.63,81.61,63,85,3.85,overcast clouds,0.0,0.0
74,Kavieng,PG,-2.57,150.8,84.22,76,70,12.06,light rain,0.0,0.0
75,Gilgit,PK,35.92,74.31,78.94,24,0,2.71,clear sky,0.0,0.0
76,Ipixuna,BR,-1.76,-48.8,77.0,94,20,4.7,few clouds,0.0,0.0
77,Codrington,AU,-38.27,141.97,56.21,65,89,3.22,overcast clouds,0.0,0.0
78,Provideniya,RU,64.38,-173.3,44.6,93,90,8.95,fog,0.0,0.0
79,Mar Del Plata,AR,-38.0,-57.56,45.0,75,90,4.7,overcast clouds,0.0,0.0
80,Riviere-Au-Renard,CA,49.0,-64.4,51.8,93,5,4.99,clear sky,0.0,0.0
81,Port Lincoln,AU,-34.73,135.87,55.22,63,3,11.52,clear sky,0.0,0.0
82,Dingle,PH,11.0,122.67,87.87,67,37,10.27,scattered clouds,0.0,0.0
83,Castro,BR,-24.79,-50.01,58.59,96,79,6.51,broken clouds,0.0,0.0
84,Chara,RU,56.91,118.26,63.68,50,100,2.53,overcast clouds,0.0,0.0
85,Padang,ID,-0.95,100.35,85.78,59,40,3.42,scattered clouds,0.0,0.0
86,Rosarito,MX,32.33,-117.03,75.2,73,20,6.93,few clouds,0.0,0.0
87,Acapulco,MX,16.86,-99.89,84.2,79,90,3.94,overcast clouds,0.0,0.0
88,Khatanga,RU,71.97,102.5,50.81,65,93,15.37,overcast clouds,0.0,0.0
89,Hithadhoo,MV,-0.6,73.08,84.16,74,100,16.22,overcast clouds,0.0,0.0
90,Soverato,IT,38.69,16.55,73.4,94,8,5.82,clear sky,0.0,0.0
91,Victoria,HK,22.29,114.16,91.99,70,99,5.99,overcast clouds,0.0,0.0
92,Avera,US,33.19,-82.53,75.2,92,90,9.17,light rain,0.0,0.0
93,Souillac,MU,-20.52,57.52,73.4,94,75,9.17,light intensity shower rain,0.0,0.0
94,Kloulklubed,PW,7.04,134.26,84.2,74,75,5.82,broken clouds,0.0,0.0
95,Volterra,IT,43.4,10.86,72.0,85,0,2.84,clear sky,0.0,0.0
96,Gondanglegi,ID,-7.75,112.01,82.09,69,68,5.1,broken clouds,0.0,0.0
97,Asau,RO,46.43,26.4,64.99,81,61,4.56,broken clouds,0.0,0.0
98,Gambela,ET,8.25,34.58,69.6,95,82,2.28,moderate rain,0.0,0.0
99,Scottsboro,US,34.67,-86.03,77.0,100,90,4.7,overcast clouds,0.0,0.0
100,Kijang,KR,35.24,129.21,78.8,74,20,16.11,few clouds,0.0,0.0
101,Sosua,DO,19.77,-70.52,82.99,74,75,11.79,broken clouds,0.0,0.0
102,Kodiak,US,57.79,-152.41,53.6,93,90,3.36,moderate rain,0.0,0.0
103,Kibre Mengist,ET,5.88,38.98,57.42,91,100,4.32,light rain,0.0,0.0
104,San Quintin,MX,30.48,-115.95,68.88,73,0,10.38,clear sky,0.0,0.0
105,Bhan,PK,26.56,67.72,96.85,38,98,6.58,overcast clouds,0.0,0.0
106,Khandyga,RU,62.67,135.6,74.68,40,7,1.92,light rain,0.0,0.0
107,Dalbandin,PK,28.89,64.41,88.57,30,0,5.35,clear sky,0.0,0.0
108,Bilibino,RU,68.05,166.44,61.23,42,95,5.26,overcast clouds,0.0,0.0
109,Taos,US,36.41,-105.57,77.0,29,1,11.41,clear sky,0.0,0.0
110,Karla,EE,59.37,24.93,57.99,87,33,9.17,scattered clouds,0.0,0.0
111,Sassandra,CI,4.95,-6.08,73.78,88,100,6.38,overcast clouds,0.0,0.0
112,Arona,ES,28.1,-16.68,77.0,88,0,8.05,clear sky,0.0,0.0
113,Mantua,IT,45.17,10.78,71.01,84,30,8.99,scattered clouds,0.0,0.0
114,Cape Town,ZA,-33.93,18.42,57.0,66,75,5.82,broken clouds,0.0,0.0
115,Bereda,ES,43.27,-7.54,59.0,97,80,11.99,broken clouds,0.0,0.0
116,San Patricio,MX,19.22,-104.7,86.0,79,40,11.41,scattered clouds,0.0,0.0
117,Boyolangu,ID,-8.12,111.89,80.65,74,79,9.4,broken clouds,0.0,0.0
118,Galich,RU,58.38,42.35,69.1,82,0,5.86,clear sky,0.0,0.0
119,Santa Cruz,BO,-17.8,-63.17,62.6,72,75,6.93,broken clouds,0.0,0.0
120,Urumqi,CN,43.8,87.6,71.6,60,100,11.18,overcast clouds,0.0,0.0
121,Aripuana,BR,-9.17,-60.63,75.27,63,6,1.57,clear sky,0.0,0.0
122,San Cristobal,VE,7.77,-72.22,66.06,79,70,1.01,broken clouds,0.0,0.0
123,Salalah,OM,17.02,54.09,82.4,83,90,3.36,overcast clouds,0.0,0.0
124,Del Rio,US,29.36,-100.9,96.8,32,1,11.41,clear sky,0.0,0.0
125,East London,ZA,-33.02,27.91,59.0,67,44,25.28,scattered clouds,0.0,0.0
126,Itarema,BR,-2.92,-39.92,75.67,90,47,7.11,scattered clouds,0.0,0.0
127,Coquimbo,CL,-29.95,-71.34,53.6,87,93,3.36,overcast clouds,0.0,0.0
128,Chuy,UY,-33.7,-53.46,45.55,85,94,5.17,overcast clouds,0.0,0.0
129,Caravelas,BR,-17.71,-39.25,70.83,91,7,3.13,clear sky,0.0,0.0
130,Avarua,CK,-21.21,-159.78,73.4,78,97,14.99,overcast clouds,0.0,0.0
131,Novopavlovka,RU,51.22,109.21,84.27,23,0,4.36,clear sky,0.0,0.0
132,Bandarbeyla,SO,9.49,50.81,80.6,58,1,27.81,clear sky,0.0,0.0
133,Muli,MV,2.92,73.57,84.09,69,100,8.95,overcast clouds,0.0,0.0
134,Kaeo,NZ,-35.1,173.78,59.0,18,7,13.0,clear sky,0.0,0.0
135,Kaitangata,NZ,-46.28,169.85,46.99,73,97,11.01,overcast clouds,0.0,0.0
136,Potosi,BO,-19.58,-65.75,38.82,68,0,4.29,clear sky,0.0,0.0
137,Bredasdorp,ZA,-34.53,20.04,55.4,76,52,9.17,broken clouds,0.0,0.0
138,Uige,AO,-7.61,15.06,58.26,75,70,2.64,broken clouds,0.0,0.0
139,Banepa,NP,27.63,85.52,73.4,88,75,2.24,broken clouds,0.0,0.0
140,Upernavik,GL,72.79,-56.15,42.13,70,93,9.78,overcast clouds,0.0,0.0
141,Aasiaat,GL,68.71,-52.87,39.76,89,99,6.76,overcast clouds,0.0,0.0
142,Katobu,ID,-4.94,122.53,81.45,82,28,7.99,moderate rain,0.0,0.0
143,Chipinge,ZW,-20.19,32.62,47.34,58,0,2.39,clear sky,0.0,0.0
144,Hirara,JP,24.8,125.28,91.4,70,75,20.8,broken clouds,0.0,0.0
145,Palatka,US,29.65,-81.64,75.99,94,90,4.7,overcast clouds,0.0,0.0
146,Hasaki,JP,35.73,140.83,84.2,74,75,20.8,broken clouds,0.0,0.0
147,Impfondo,CG,1.64,18.07,70.23,89,85,1.36,overcast clouds,0.0,0.0
148,Port Hardy,CA,50.7,-127.42,59.0,72,90,8.05,overcast clouds,0.0,0.0
149,Nalut,LY,30.33,10.85,70.47,44,0,8.08,clear sky,0.0,0.0
150,Cabo San Lucas,MX,22.89,-109.91,91.4,54,40,13.87,scattered clouds,0.0,0.0
151,Hamilton,US,39.18,-84.53,73.0,94,1,4.7,mist,0.0,0.0
152,Arica,CL,-18.48,-70.3,56.57,80,31,3.47,scattered clouds,0.0,0.0
153,Baherden,TM,38.44,57.43,85.87,15,0,4.5,clear sky,0.0,0.0
154,Lebu,CL,-37.62,-73.65,43.65,74,78,5.53,broken clouds,0.0,0.0
155,Korla,CN,41.76,86.15,85.51,18,99,4.92,overcast clouds,0.0,0.0
156,Nikolskoye,RU,59.7,30.79,61.0,82,74,2.24,broken clouds,0.0,0.0
157,Egvekinot,RU,66.32,-179.17,42.44,93,99,3.44,light rain,0.0,0.0
158,Dikson,RU,73.51,80.55,50.5,63,11,15.1,few clouds,0.0,0.0
159,Alekseyevsk,RU,57.84,108.35,72.3,45,56,6.33,broken clouds,0.0,0.0
160,Gat,IL,31.61,34.76,73.99,93,3,5.01,clear sky,0.0,0.0
161,Trofors,NO,65.53,13.41,46.4,93,100,4.7,overcast clouds,0.0,0.0
162,Mengyin,CN,35.71,117.93,88.79,39,0,9.53,clear sky,0.0,0.0
163,San Rafael,AR,-34.62,-68.33,42.24,66,89,5.75,overcast clouds,0.0,0.0
164,Clonakilty,IE,51.62,-8.87,52.0,93,78,6.93,broken clouds,0.0,0.0
165,Butaritari,KI,3.07,172.79,83.71,75,15,12.33,few clouds,0.0,0.0
166,Panambi,BR,-28.29,-53.5,50.85,93,99,16.69,moderate rain,0.0,0.0
167,Lompoc,US,34.64,-120.46,62.6,67,0,18.34,clear sky,0.0,0.0
168,Mamou,GN,10.5,-12.0,67.26,95,100,2.01,overcast clouds,0.0,0.0
169,Lexington,US,37.99,-84.48,77.0,69,1,13.87,clear sky,0.0,0.0
170,Te Anau,NZ,-45.42,167.72,44.92,77,96,3.4,overcast clouds,0.0,0.0
171,Torbay,CA,47.67,-52.73,50.0,87,75,3.36,broken clouds,0.0,0.0
172,Broken Hill,AU,-31.95,141.43,50.0,61,90,10.29,overcast clouds,0.0,0.0
173,La Ronge,CA,55.1,-105.28,69.8,46,20,8.05,few clouds,0.0,0.0
174,Bilma,NE,18.69,12.92,84.94,14,53,8.68,broken clouds,0.0,0.0
175,Perth,AU,-31.93,115.83,64.99,72,40,3.36,scattered clouds,0.0,0.0
176,Muros,ES,42.78,-9.06,63.0,78,0,7.0,clear sky,0.0,0.0
177,Isangel,VU,-19.55,169.27,73.4,78,90,11.92,overcast clouds,0.0,0.0
178,Leningradskiy,RU,69.38,178.42,46.44,74,100,4.92,overcast clouds,0.0,0.0
179,Conceicao Do Araguaia,BR,-8.26,-49.26,78.8,57,0,4.7,clear sky,0.0,0.0
180,Bethel,US,41.37,-73.41,70.0,88,40,4.7,scattered clouds,0.0,0.0
181,Talegaon Dabhade,IN,18.72,73.68,75.69,85,100,15.21,light rain,0.0,0.0
182,Vresina,CZ,49.82,18.13,57.2,67,100,5.82,overcast clouds,0.0,0.0
183,Ginir,ET,7.13,40.7,56.35,92,96,7.2,overcast clouds,0.0,0.0
184,Boundiali,CI,9.52,-6.49,72.21,88,54,2.17,light rain,0.0,0.0
185,Havre-Saint-Pierre,CA,50.23,-63.6,55.4,87,1,6.93,clear sky,0.0,0.0
186,Atherton,GB,53.52,-2.49,55.0,83,99,1.01,overcast clouds,0.0,0.0
187,Qaqortoq,GL,60.72,-46.03,46.4,70,82,3.36,broken clouds,0.0,0.0
188,Kosh-Agach,RU,50.0,88.67,56.57,62,79,0.83,broken clouds,0.0,0.0
189,Migori,KE,-1.06,34.47,63.77,71,98,3.78,overcast clouds,0.0,0.0
190,Cherskiy,RU,68.75,161.3,65.98,44,34,14.81,scattered clouds,0.0,0.0
191,General Roca,AR,-39.03,-67.58,39.2,93,75,8.05,light intensity drizzle,0.0,0.0
192,Doha,QA,25.29,51.53,96.01,66,0,2.24,clear sky,0.0,0.0
